year,condition,cylinders,fuel,miles,status,transmission,drive,type,color,manufacturer,price_cad
2014.0,good,4 ,other,45266.0,clean,automatic,rwd,sedan,white,bmw,36162.4
1990.0,good,8 ,gas,98771.0,clean,automatic,4wd,SUV,other,dodge,17544.0
2019.0,unknown,4 ,other,38379.0,clean,automatic,fwd,pickup,silver,ford,38073.200000000004
2019.0,good,8 ,gas,22722.0,clean,other,4wd,pickup,other,chevrolet,47042.4
2012.0,unknown,4 ,gas,170180.0,clean,automatic,4wd,pickup,other,ford,19026.4
2003.0,excellent,6 ,gas,149000.0,clean,automatic,4wd,sedan,other,audi,3808.0000000000005
2015.0,excellent,8 ,gas,0.0,clean,automatic,rwd,SUV,other,chevrolet,37942.64
2017.0,good,4 ,gas,25910.0,clean,other,rwd,sedan,black,cadillac,29362.4
2010.0,excellent,6 ,gas,84490.0,clean,automatic,rwd,sedan,unknown,hyundai,13593.2
2017.0,unknown,4 ,gas,99154.0,clean,automatic,4wd,SUV,silver,ford,43518.64000000001
2013.0,excellent,4 ,gas,92196.0,clean,automatic,4wd,pickup,unknown,ford,35360.0
2010.0,unknown,4 ,gas,226.0,clean,automatic,4wd,truck,white,toyota,16728.0
2008.0,good,8 ,gas,180000.0,clean,automatic,4wd,pickup,other,chevrolet,10873.2
1965.0,unknown,8 ,gas,73148.0,clean,manual,rwd,convertible,black,Sunbeam,82960.0
2004.0,good,6 ,gas,162763.0,clean,automatic,fwd,mini-van,white,toyota,7473.200000000001
2017.0,excellent,4 ,gas,92601.0,clean,automatic,fwd,sedan,black,hyundai,12233.2
2004.0,good,6 ,gas,207000.0,clean,automatic,4wd,SUV,unknown,ford,6528.000000000001
2018.0,good,4 ,gas,41076.0,clean,other,fwd,hatchback,unknown,chevrolet,24466.4
2007.0,good,6 ,gas,74800.0,clean,automatic,fwd,sedan,white,hyundai,6392.000000000001
2006.0,good,6 ,gas,130000.0,clean,automatic,4wd,SUV,silver,toyota,9384.0
2006.0,excellent,6 ,gas,129000.0,clean,automatic,4wd,SUV,unknown,toyota,13593.2
2008.0,excellent,4 ,gas,128000.0,clean,automatic,4wd,SUV,silver,toyota,12172.0
2009.0,unknown,8 ,gas,100814.0,clean,automatic,4wd,truck,white,ford,16728.0
2006.0,unknown,8 ,gas,112215.0,clean,automatic,4wd,pickup,other,toyota,35355.920000000006
2013.0,excellent,4 ,gas,99100.0,clean,automatic,fwd,mini-van,silver,toyota,23118.640000000003
2020.0,excellent,4 ,gas,27452.0,clean,automatic,fwd,sedan,unknown,kia,23120.0
2017.0,unknown,4 ,gas,87037.0,clean,automatic,fwd,hatchback,unknown,chevrolet,12939.04
2018.0,unknown,4 ,gas,19048.0,clean,automatic,fwd,sedan,other,honda,31273.2
2010.0,excellent,6 ,gas,124000.0,clean,automatic,fwd,mini-van,other,honda,12233.2
1964.0,excellent,8 ,gas,100000.0,clean,automatic,rwd,pickup,other,chevrolet,30600.000000000004
2010.0,excellent,4 ,gas,99274.0,clean,automatic,fwd,sedan,silver,kia,10878.640000000001
2003.0,good,8 ,gas,85000.0,clean,automatic,4wd,SUV,other,dodge,2040.0000000000002
2019.0,unknown,6 ,gas,7392.0,clean,automatic,4wd,truck,white,toyota,58478.64000000001
2015.0,excellent,8 ,gas,25000.0,clean,automatic,4wd,SUV,white,chevrolet,61064.00000000001
2000.0,excellent,8 ,gas,214000.0,clean,automatic,4wd,SUV,black,toyota,16320.000000000002
2018.0,unknown,4 ,gas,52085.0,clean,automatic,4wd,pickup,white,ford,61200.00000000001
2015.0,unknown,4 ,gas,76868.0,clean,automatic,4wd,truck,unknown,ford,50317.280000000006
2015.0,good,6 ,gas,56554.0,clean,automatic,rwd,sedan,white,kia,20393.2
